,date,datatype,station,attributes,value
0,2016-01-01T00:00:00,AWND,GHCND:USW00094728,",,W,",3.4
1,2016-01-01T00:00:00,PRCP,GHCND:USW00094728,",,W,2400",0.0
2,2016-01-01T00:00:00,SNOW,GHCND:USW00094728,",,W,",0.0
3,2016-01-01T00:00:00,SNWD,GHCND:USW00094728,",,W,",0.0
4,2016-01-01T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",5.6
5,2016-01-01T00:00:00,TMIN,GHCND:USW00094728,",,W,2400",1.1
6,2016-01-01T00:00:00,WDF2,GHCND:USW00094728,",,W,",290.0
7,2016-01-01T00:00:00,WDF5,GHCND:USW00094728,",,W,",300.0
8,2016-01-01T00:00:00,WSF2,GHCND:USW00094728,",,W,",7.6
9,2016-01-01T00:00:00,WSF5,GHCND:USW00094728,",,W,",11.6
10,2016-01-02T00:00:00,AWND,GHCND:USW00094728,",,W,",3.0
11,2016-01-02T00:00:00,PRCP,GHCND:USW00094728,",,W,2400",0.0
12,2016-01-02T00:00:00,SNOW,GHCND:USW00094728,",,W,",0.0
13,2016-01-02T00:00:00,SNWD,GHCND:USW00094728,",,W,",0.0
14,2016-01-02T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",4.4
15,2016-01-02T00:00:00,TMIN,GHCND:USW00094728,",,W,2400",0.0
16,2016-01-02T00:00:00,WDF2,GHCND:USW00094728,",,W,",290.0
17,2016-01-02T00:00:00,WDF5,GHCND:USW00094728,",,W,",270.0
18,2016-01-02T00:00:00,WSF2,GHCND:USW00094728,",,W,",6.7
19,2016-01-02T00:00:00,WSF5,GHCND:USW00094728,",,W,",10.3
20,2016-01-03T00:00:00,AWND,GHCND:USW00094728,",,W,",3.5
21,2016-01-03T00:00:00,PRCP,GHCND:USW00094728,",,W,2400",0.0
22,2016-01-03T00:00:00,SNOW,GHCND:USW00094728,",,W,",0.0
23,2016-01-03T00:00:00,SNWD,GHCND:USW00094728,",,W,",0.0
24,2016-01-03T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",7.2
25,2016-01-03T00:00:00,TMIN,GHCND:USW00094728,",,W,2400",1.7
26,2016-01-03T00:00:00,WDF2,GHCND:USW00094728,",,W,",270.0
27,2016-01-03T00:00:00,WDF5,GHCND:USW00094728,",,W,",240.0
