,date,datatype,station,attributes,value
0,2007-01-01T00:00:00,AWND,GHCND:USW00094728,",,W,",1.7
1,2007-01-01T00:00:00,FMTM,GHCND:USW00094728,",,X,",722.0
2,2007-01-01T00:00:00,PGTM,GHCND:USW00094728,",,W,",721.0
3,2007-01-01T00:00:00,PRCP,GHCND:USW00094728,",,0,2400",38.6
4,2007-01-01T00:00:00,SNOW,GHCND:USW00094728,",,0,",0.0
5,2007-01-01T00:00:00,SNWD,GHCND:USW00094728,",,0,",0.0
6,2007-01-01T00:00:00,TMAX,GHCND:USW00094728,",,0,2400",13.3
7,2007-01-01T00:00:00,TMIN,GHCND:USW00094728,",,0,2400",7.2
8,2007-01-01T00:00:00,WDF2,GHCND:USW00094728,",,X,",170.0
9,2007-01-01T00:00:00,WDF5,GHCND:USW00094728,",,X,",180.0
10,2007-01-01T00:00:00,WSF2,GHCND:USW00094728,",,X,",6.3
11,2007-01-01T00:00:00,WSF5,GHCND:USW00094728,",,X,",10.7
12,2007-01-01T00:00:00,WT01,GHCND:USW00094728,",,0,",1.0
13,2007-01-01T00:00:00,WT02,GHCND:USW00094728,",,W,",1.0
14,2007-01-01T00:00:00,WT13,GHCND:USW00094728,",,X,",1.0
15,2007-01-01T00:00:00,WT16,GHCND:USW00094728,",,0,",1.0
16,2007-01-02T00:00:00,AWND,GHCND:USW00094728,",,W,",3.8
17,2007-01-02T00:00:00,FMTM,GHCND:USW00094728,",,X,",1035.0
18,2007-01-02T00:00:00,PGTM,GHCND:USW00094728,",,W,",1030.0
19,2007-01-02T00:00:00,PRCP,GHCND:USW00094728,",,0,2400",0.0
20,2007-01-02T00:00:00,SNOW,GHCND:USW00094728,",,0,",0.0
21,2007-01-02T00:00:00,SNWD,GHCND:USW00094728,",,0,",0.0
22,2007-01-02T00:00:00,TMAX,GHCND:USW00094728,",,0,2400",10.0
23,2007-01-02T00:00:00,TMIN,GHCND:USW00094728,",,0,2400",5.0
24,2007-01-02T00:00:00,WDF2,GHCND:USW00094728,",,X,",310.0
25,2007-01-02T00:00:00,WDF5,GHCND:USW00094728,",,X,",300.0
26,2007-01-02T00:00:00,WSF2,GHCND:USW00094728,",,X,",8.0
27,2007-01-02T00:00:00,WSF5,GHCND:USW00094728,",,X,",14.8
28,2007-01-03T00:00:00,AWND,GHCND:USW00094728,",,W,",2.6
29,2007-01-03T00:00:00,FMTM,GHCND:USW00094728,",,X,",2058.0
30,2007-01-03T00:00:00,PGTM,GHCND:USW00094728,",,W,",724.0
31,2007-01-03T00:00:00,PRCP,GHCND:USW00094728,",,0,2400",0.0
32,2007-01-03T00:00:00,SNOW,GHCND:USW00094728,",,0,",0.0
33,2007-01-03T00:00:00,SNWD,GHCND:USW00094728,",,0,",0.0
34,2007-01-03T00:00:00,TMAX,GHCND:USW00094728,",,0,2400",11.1
35,2007-01-03T00:00:00,TMIN,GHCND:USW00094728,",,0,2400",3.3
